"timestamp_utc","soak_window","target_vus","actual_vus_live","actual_vus_live_source","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T17:27:18.4896027Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","54.254","62.07","12"
"2026-08-17T17:27:18.4896027Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","41.703","68.688","17"
"2026-08-17T17:27:20.5069398Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","54.68","62.328","12"
"2026-08-17T17:27:20.5069398Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","41.703","68.688","17"
"2026-08-17T17:27:22.5180339Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","55.199","62.898","12"
"2026-08-17T17:27:22.5180339Z","early_steady","12","12","k6_progress","k6","10312","True","0","41.754","68.688","17"
"2026-08-17T17:27:24.5209293Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","55.406","62.898","12"
"2026-08-17T17:27:24.5209293Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","41.754","68.688","17"
"2026-08-17T17:27:26.5346684Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","55.512","63.367","12"
"2026-08-17T17:27:26.5346684Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","41.82","68.734","17"
"2026-08-17T17:27:28.5448714Z","early_steady","12","12","k6_progress","backend","28188","True","0.259","56.105","63.953","12"
"2026-08-17T17:27:28.5448714Z","early_steady","12","12","k6_progress","k6","10312","True","0.13","41.941","68.961","17"
"2026-08-17T17:27:30.5584193Z","early_steady","12","12","k6_progress","backend","28188","True","0.517","56.484","64.254","12"
"2026-08-17T17:27:30.5584193Z","early_steady","12","12","k6_progress","k6","10312","True","0.259","42.004","69.109","17"
"2026-08-17T17:27:32.5788217Z","early_steady","12","12","k6_progress","backend","28188","True","0.064","56.484","64.254","12"
"2026-08-17T17:27:32.5788217Z","early_steady","12","12","k6_progress","k6","10312","True","0","42.043","69.109","17"
"2026-08-17T17:27:34.5905503Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","56.578","64.254","12"
"2026-08-17T17:27:34.5905503Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","42.051","69.109","17"
"2026-08-17T17:27:36.6041553Z","early_steady","12","12","k6_progress","backend","28188","True","0.388","56.375","63.809","12"
"2026-08-17T17:27:36.6041553Z","early_steady","12","12","k6_progress","k6","10312","True","0","42.062","69.109","17"
"2026-08-17T17:27:38.6078318Z","early_steady","12","12","k6_progress","backend","28188","True","0.195","56.395","63.812","12"
"2026-08-17T17:27:38.6078318Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.32","69.352","17"
"2026-08-17T17:27:40.6196097Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","56.395","63.812","12"
"2026-08-17T17:27:40.6196097Z","early_steady","12","12","k6_progress","k6","10312","True","0","42.332","69.352","17"
"2026-08-17T17:27:42.6199924Z","early_steady","12","12","k6_progress","backend","28188","True","0.325","56.637","64.727","12"
"2026-08-17T17:27:42.6199924Z","early_steady","12","12","k6_progress","k6","10312","True","0","42.367","69.352","17"
"2026-08-17T17:27:44.6328892Z","early_steady","12","12","k6_progress","backend","28188","True","0","56.516","64.281","13"
"2026-08-17T17:27:44.6328892Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.367","69.352","17"
"2026-08-17T17:27:46.6446446Z","early_steady","12","12","k6_progress","backend","28188","True","0.324","56.527","64.293","13"
"2026-08-17T17:27:46.6446446Z","early_steady","12","12","k6_progress","k6","10312","True","0","42.398","69.352","17"
"2026-08-17T17:27:48.6566265Z","early_steady","12","12","k6_progress","backend","28188","True","0.259","56.527","64.293","13"
"2026-08-17T17:27:48.6566265Z","early_steady","12","12","k6_progress","k6","10312","True","0.388","42.402","69.352","17"
"2026-08-17T17:27:50.6714108Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","56.609","64.363","13"
"2026-08-17T17:27:50.6714108Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","42.406","69.352","17"
"2026-08-17T17:27:52.6906159Z","early_steady","12","12","k6_progress","backend","28188","True","0.258","56.891","64.766","13"
"2026-08-17T17:27:52.6906159Z","early_steady","12","12","k6_progress","k6","10312","True","0.258","42.414","69.352","17"
"2026-08-17T17:27:54.7003865Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","56.578","64.297","13"
"2026-08-17T17:27:54.7003865Z","early_steady","12","12","k6_progress","k6","10312","True","0.389","42.445","69.438","17"
"2026-08-17T17:27:56.7011829Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","56.586","64.305","13"
"2026-08-17T17:27:56.7011829Z","early_steady","12","12","k6_progress","k6","10312","True","0.195","42.57","69.758","17"
"2026-08-17T17:27:58.7141650Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","56.59","64.309","13"
"2026-08-17T17:27:58.7141650Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.613","69.852","17"
"2026-08-17T17:28:00.7418325Z","early_steady","12","12","k6_progress","backend","28188","True","0.193","56.551","64.402","13"
"2026-08-17T17:28:00.7418325Z","early_steady","12","12","k6_progress","k6","10312","True","0.064","42.617","69.852","17"
"2026-08-17T17:28:02.7451968Z","early_steady","12","12","k6_progress","backend","28188","True","0.325","56.734","64.926","13"
"2026-08-17T17:28:02.7451968Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.621","69.852","17"
"2026-08-17T17:28:04.7623241Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","56.738","64.926","13"
"2026-08-17T17:28:04.7623241Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","42.738","69.852","17"
"2026-08-17T17:28:06.7754976Z","early_steady","12","12","k6_progress","backend","28188","True","0.129","56.742","64.383","13"
"2026-08-17T17:28:06.7754976Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.742","69.852","17"
"2026-08-17T17:28:08.7834195Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","56.746","64.383","13"
"2026-08-17T17:28:08.7834195Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.746","69.852","17"
"2026-08-17T17:28:10.7973785Z","early_steady","12","12","k6_progress","backend","28188","True","0.259","56.648","64.227","13"
"2026-08-17T17:28:10.7973785Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.77","69.883","17"
"2026-08-17T17:28:12.8123553Z","early_steady","12","12","k6_progress","backend","28188","True","0","56.664","64.25","13"
"2026-08-17T17:28:12.8123553Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","42.969","69.883","17"
"2026-08-17T17:28:14.8189304Z","early_steady","12","12","k6_progress","backend","28188","True","0","56.668","64.25","13"
"2026-08-17T17:28:14.8189304Z","early_steady","12","12","k6_progress","k6","10312","True","0","43","69.891","17"
"2026-08-17T17:28:16.8264634Z","early_steady","12","12","k6_progress","backend","28188","True","0.195","56.98","65.207","13"
"2026-08-17T17:28:16.8264634Z","early_steady","12","12","k6_progress","k6","10312","True","0","43","69.891","17"
"2026-08-17T17:28:18.8410249Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","57.09","65.23","13"
"2026-08-17T17:28:18.8410249Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.008","69.891","17"
"2026-08-17T17:28:20.8427315Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","57.094","65.23","13"
"2026-08-17T17:28:20.8427315Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.004","69.859","16"
"2026-08-17T17:28:22.8487226Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","57.117","65.23","13"
"2026-08-17T17:28:22.8487226Z","early_steady","12","12","k6_progress","k6","10312","True","0.13","43.004","69.859","16"
"2026-08-17T17:28:24.8579804Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","57.512","65.488","13"
"2026-08-17T17:28:24.8579804Z","early_steady","12","12","k6_progress","k6","10312","True","0.13","43.02","69.859","16"
"2026-08-17T17:28:26.8711812Z","early_steady","12","12","k6_progress","backend","28188","True","0","57.762","66.008","13"
"2026-08-17T17:28:26.8711812Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.02","69.859","16"
"2026-08-17T17:28:28.8851079Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","57.543","64.965","13"
"2026-08-17T17:28:28.8851079Z","early_steady","12","12","k6_progress","k6","10312","True","0.129","43.023","69.859","16"
"2026-08-17T17:28:30.8957745Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","57.758","65.008","14"
"2026-08-17T17:28:30.8957745Z","early_steady","12","12","k6_progress","k6","10312","True","0.259","43.023","69.859","16"
"2026-08-17T17:28:32.9137343Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","57.758","65.008","14"
"2026-08-17T17:28:32.9137343Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.023","69.859","16"
"2026-08-17T17:28:34.9298719Z","early_steady","12","12","k6_progress","backend","28188","True","0.194","57.758","65.008","14"
"2026-08-17T17:28:34.9298719Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.027","69.859","16"
"2026-08-17T17:28:36.9354776Z","early_steady","12","12","k6_progress","backend","28188","True","0.325","57.922","65.277","14"
"2026-08-17T17:28:36.9354776Z","early_steady","12","12","k6_progress","k6","10312","True","0.065","43.059","69.859","16"
"2026-08-17T17:28:38.9360768Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","57.953","65.277","14"
"2026-08-17T17:28:38.9360768Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.062","69.859","16"
"2026-08-17T17:28:40.9567349Z","early_steady","12","12","k6_progress","backend","28188","True","0.193","57.918","65.938","14"
"2026-08-17T17:28:40.9567349Z","early_steady","12","12","k6_progress","k6","10312","True","0.58","43.066","69.859","16"
"2026-08-17T17:28:42.9613927Z","early_steady","12","12","k6_progress","backend","28188","True","0.26","57.918","65.938","14"
"2026-08-17T17:28:42.9613927Z","early_steady","12","12","k6_progress","k6","10312","True","0.195","43.09","69.859","16"
"2026-08-17T17:28:44.9708491Z","early_steady","12","12","k6_progress","backend","28188","True","0.065","58.176","66.148","14"
"2026-08-17T17:28:44.9708491Z","early_steady","12","12","k6_progress","k6","10312","True","0","43.094","69.859","16"
"2026-08-17T17:28:46.9805342Z","early_steady","12","12","k6_progress","backend","28188","True","0.13","58.293","66.152","14"
"2026-08-17T17:28:46.9805342Z","early_steady","12","12","k6_progress","k6","10312","True","0.259","43.109","69.859","16"
