"timestamp_utc","phase","role","pid","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T04:28:02.2522841Z","steady_4vu","k6","24636","0.063","34.164","61.453","17"
"2026-08-17T04:28:04.3261346Z","steady_4vu","backend","10924","0.188","49.863","59.719","14"
"2026-08-17T04:28:04.3261346Z","steady_4vu","k6","24636","0.377","34.227","61.453","17"
"2026-08-17T04:28:06.4379731Z","steady_4vu","backend","10924","0","49.863","59.719","14"
"2026-08-17T04:28:06.4379731Z","steady_4vu","k6","24636","0","34.227","61.453","17"
"2026-08-17T04:28:08.5069415Z","steady_4vu","backend","10924","0.378","50.102","59.719","14"
"2026-08-17T04:28:08.5069415Z","steady_4vu","k6","24636","0.252","34.293","61.5","17"
"2026-08-17T04:28:10.5961787Z","steady_4vu","backend","10924","0.125","50.18","59.719","14"
"2026-08-17T04:28:10.5961787Z","steady_4vu","k6","24636","0.249","34.293","61.5","17"
"2026-08-17T04:28:12.6649805Z","steady_4vu","backend","10924","0","50.18","59.719","14"
"2026-08-17T04:28:12.6649805Z","steady_4vu","k6","24636","0.189","34.34","61.547","17"
"2026-08-17T04:28:14.7207260Z","steady_4vu","backend","10924","0.19","50.184","59.719","14"
"2026-08-17T04:28:14.7207260Z","steady_4vu","k6","24636","0.19","34.707","62.031","17"
"2026-08-17T04:28:16.7984424Z","steady_4vu","backend","10924","0.376","50.402","60.238","14"
"2026-08-17T04:28:16.7984424Z","steady_4vu","k6","24636","0.564","34.777","62.273","17"
"2026-08-17T04:28:18.8718226Z","steady_4vu","backend","10924","0","50.414","60.238","14"
"2026-08-17T04:28:18.8718226Z","steady_4vu","k6","24636","0.126","34.781","62.273","17"
"2026-08-17T04:28:20.9459723Z","steady_4vu","backend","10924","0.126","50.691","60.238","14"
"2026-08-17T04:28:20.9459723Z","steady_4vu","k6","24636","0.377","34.809","62.273","17"
"2026-08-17T04:28:22.9935548Z","steady_4vu","backend","10924","0","50.801","60.754","14"
"2026-08-17T04:28:22.9935548Z","steady_4vu","k6","24636","0","34.848","62.273","17"
"2026-08-17T04:28:25.0499469Z","steady_4vu","backend","10924","0","50.809","60.754","14"
"2026-08-17T04:28:25.0499469Z","steady_4vu","k6","24636","0.063","34.863","62.273","17"
"2026-08-17T04:28:27.1078390Z","steady_4vu","backend","10924","0.127","50.82","60.754","14"
"2026-08-17T04:28:27.1078390Z","steady_4vu","k6","24636","0","34.863","62.273","17"
"2026-08-17T04:28:29.1875079Z","steady_4vu","backend","10924","0.125","51.07","60.754","14"
"2026-08-17T04:28:29.1875079Z","steady_4vu","k6","24636","0.063","34.957","62.305","17"
"2026-08-17T04:28:31.2555179Z","steady_4vu","backend","10924","0.252","51.07","60.754","14"
"2026-08-17T04:28:31.2555179Z","steady_4vu","k6","24636","0.063","34.965","62.305","17"
"2026-08-17T04:28:33.3214097Z","steady_4vu","backend","10924","0.063","51.27","61.012","14"
"2026-08-17T04:28:33.3214097Z","steady_4vu","k6","24636","0.063","34.969","62.242","15"
"2026-08-17T04:28:35.3786094Z","steady_4vu","backend","10924","0","51.27","61.012","14"
"2026-08-17T04:28:35.3786094Z","steady_4vu","k6","24636","0.063","34.969","62.242","15"
"2026-08-17T04:28:37.4394866Z","steady_4vu","backend","10924","0.126","51.344","61.012","14"
"2026-08-17T04:28:37.4394866Z","steady_4vu","k6","24636","0.253","35.016","62.305","15"
"2026-08-17T04:28:39.5032896Z","steady_4vu","backend","10924","0.189","51.484","61.27","14"
"2026-08-17T04:28:39.5032896Z","steady_4vu","k6","24636","0.126","35.02","62.305","15"
"2026-08-17T04:28:41.5613659Z","steady_4vu","backend","10924","0.127","51.484","61.27","14"
"2026-08-17T04:28:41.5613659Z","steady_4vu","k6","24636","0.063","35.02","62.305","15"
"2026-08-17T04:28:43.6397205Z","steady_4vu","backend","10924","0.125","51.684","61.527","14"
"2026-08-17T04:28:43.6397205Z","steady_4vu","k6","24636","0","35.023","62.305","15"
"2026-08-17T04:28:45.7042778Z","steady_4vu","backend","10924","0.252","51.918","61.531","14"
"2026-08-17T04:28:45.7042778Z","steady_4vu","k6","24636","0.252","35.129","62.359","15"
"2026-08-17T04:28:47.8010557Z","steady_4vu","backend","10924","0.186","52.129","61.531","14"
"2026-08-17T04:28:47.8010557Z","steady_4vu","k6","24636","0.062","35.262","62.359","15"
"2026-08-17T04:28:49.8645004Z","steady_4vu","backend","10924","0.126","51.926","61.602","14"
"2026-08-17T04:28:49.8645004Z","steady_4vu","k6","24636","0.252","35.289","62.359","15"
"2026-08-17T04:28:51.9366642Z","steady_4vu","backend","10924","0.314","52.465","61.738","14"
"2026-08-17T04:28:51.9366642Z","steady_4vu","k6","24636","0","35.297","62.359","15"
"2026-08-17T04:28:53.9803985Z","steady_4vu","backend","10924","0.127","52.551","61.738","14"
"2026-08-17T04:28:53.9803985Z","steady_4vu","k6","24636","0.127","35.297","62.359","15"
"2026-08-17T04:28:56.0273462Z","steady_4vu","backend","10924","0","52.555","61.738","14"
"2026-08-17T04:28:56.0273462Z","steady_4vu","k6","24636","0.191","35.297","62.359","15"
"2026-08-17T04:28:58.0925441Z","steady_4vu","backend","10924","0.189","52.758","61.996","14"
"2026-08-17T04:28:58.0925441Z","steady_4vu","k6","24636","0.252","35.297","62.359","15"
