"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","role","pid","process_available","cpu_percent_total_machine","working_set_mb","private_memory_mb","thread_count"
"2026-08-17T14:21:40.8960495Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.303","60.305","70.383","13"
"2026-08-17T14:21:40.8960495Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.101","72.957","99.734","18"
"2026-08-17T14:21:42.2027207Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.399","60.352","70.398","13"
"2026-08-17T14:21:42.2027207Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.299","72.969","99.734","18"
"2026-08-17T14:21:43.5158651Z","spike_peak_32","32","32","k6_progress","backend","11976","True","0.496","60.352","70.398","13"
"2026-08-17T14:21:43.5158651Z","spike_peak_32","32","32","k6_progress","k6","24360","True","0.198","72.988","99.734","18"
"2026-08-17T14:21:44.8107534Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.402","60.258","75.98","13"
"2026-08-17T14:21:44.8107534Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.302","73.031","99.766","18"
"2026-08-17T14:21:46.1023150Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.202","60.473","77.508","13"
"2026-08-17T14:21:46.1023150Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0","73.031","99.766","18"
"2026-08-17T14:21:47.3958553Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.403","60.469","76.723","13"
"2026-08-17T14:21:47.3958553Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.403","73.031","99.766","18"
"2026-08-17T14:21:48.7018993Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.498","61.043","76.715","13"
"2026-08-17T14:21:48.7018993Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.299","73.043","99.766","18"
"2026-08-17T14:21:50.0040086Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.9","62.926","77.562","13"
"2026-08-17T14:21:50.0040086Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.6","73.047","99.766","18"
"2026-08-17T14:21:51.3101720Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.498","62.633","76.211","13"
"2026-08-17T14:21:51.3101720Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","1.495","73.188","99.898","18"
"2026-08-17T14:21:52.5992188Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.808","63.543","76.238","13"
"2026-08-17T14:21:52.5992188Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.202","73.188","99.898","18"
"2026-08-17T14:21:53.9070057Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","1.095","64.367","76.246","13"
"2026-08-17T14:21:53.9070057Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.299","73.207","99.898","18"
"2026-08-17T14:21:55.2147405Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.398","64.367","76.246","13"
"2026-08-17T14:21:55.2147405Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.398","73.207","99.898","18"
"2026-08-17T14:21:56.5194685Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.299","64.52","76.652","13"
"2026-08-17T14:21:56.5194685Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0","73.242","99.898","18"
"2026-08-17T14:21:57.8158953Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.201","64.52","76.652","13"
"2026-08-17T14:21:57.8158953Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.1","73.242","99.898","18"
"2026-08-17T14:21:59.1079287Z","recovery_settling_4","4","32","k6_progress","backend","11976","True","0.705","64.332","76.203","13"
"2026-08-17T14:21:59.1079287Z","recovery_settling_4","4","32","k6_progress","k6","24360","True","0.101","73.25","99.898","18"
"2026-08-17T14:22:00.4101413Z","recovery_settling_4","4","30","k6_progress","backend","11976","True","0.1","64.383","76.609","13"
"2026-08-17T14:22:00.4101413Z","recovery_settling_4","4","30","k6_progress","k6","24360","True","0.1","73.25","99.898","18"
"2026-08-17T14:22:01.7046332Z","recovery_settling_4","4","26","k6_progress","backend","11976","True","0.201","64.398","76.621","13"
"2026-08-17T14:22:01.7046332Z","recovery_settling_4","4","26","k6_progress","k6","24360","True","0","73.25","99.898","18"
"2026-08-17T14:22:03.0088693Z","recovery_settling_4","4","20","k6_progress","backend","11976","True","0.399","64.301","76.445","13"
"2026-08-17T14:22:03.0088693Z","recovery_settling_4","4","20","k6_progress","k6","24360","True","0.3","73.262","99.898","18"
