"timestamp_utc","spike_phase","target_vus","actual_vus_live","actual_vus_live_source","cpu_percent","committed_memory_percent","disk_bytes_per_second","network_bytes_per_second"
"2026-08-17T14:21:30.5060287Z","spike_peak_32","32","32","k6_progress","12.683","85.612","171651.346","6648.257"
"2026-08-17T14:21:31.8000691Z","spike_peak_32","32","32","k6_progress","18.53","85.599","791826.556","200425.915"
"2026-08-17T14:21:33.0883645Z","spike_peak_32","32","32","k6_progress","25.725","85.571","1140468.872","83979.079"
"2026-08-17T14:21:34.3936443Z","spike_peak_32","32","32","k6_progress","16.984","85.557","1723134.894","885.134"
"2026-08-17T14:21:35.6977155Z","spike_peak_32","32","32","k6_progress","31.551","85.64","1122377.45","428.509"
"2026-08-17T14:21:37.0047832Z","spike_peak_32","32","32","k6_progress","24.738","85.675","3312876.218","238.442"
"2026-08-17T14:21:38.3140164Z","spike_peak_32","32","32","k6_progress","14.377","85.672","1342205.152","241.585"
"2026-08-17T14:21:39.6064735Z","spike_peak_32","32","32","k6_progress","25.097","85.737","1032629.828","1962.076"
"2026-08-17T14:21:40.8960495Z","spike_peak_32","32","32","k6_progress","22.249","85.711","1872828.511","1148.263"
"2026-08-17T14:21:42.2027207Z","spike_peak_32","32","32","k6_progress","25.31","85.702","1725225.483","8196.065"
"2026-08-17T14:21:43.5158651Z","spike_peak_32","32","32","k6_progress","18.532","85.734","1808377.911","129521.083"
"2026-08-17T14:21:44.8107534Z","recovery_settling_4","4","32","k6_progress","16.639","85.639","1356878.148","537.409"
"2026-08-17T14:21:46.1023150Z","recovery_settling_4","4","32","k6_progress","27.238","85.698","2390378.126","229.755"
"2026-08-17T14:21:47.3958553Z","recovery_settling_4","4","32","k6_progress","27.654","85.665","2238078.545","305.086"
"2026-08-17T14:21:48.7018993Z","recovery_settling_4","4","32","k6_progress","21.513","85.688","3281162.793","239.183"
"2026-08-17T14:21:50.0040086Z","recovery_settling_4","4","32","k6_progress","20.015","85.671","4121795.324","324.628"
"2026-08-17T14:21:51.3101720Z","recovery_settling_4","4","32","k6_progress","19.394","85.685","4987082.265","579.868"
"2026-08-17T14:21:52.5992188Z","recovery_settling_4","4","32","k6_progress","14.708","85.637","1392602.886","451.177"
